Latitude,Longitude,As_ppb,As
30.87916667,73.59583333,20,1
30.9125,67.2875,0,0
30.92083333,66.45416667,0,0
30.92916667,71.37916667,0,0
30.94583333,69.12916667,0,0
30.95416667,70.9375,100,1
30.9625,70.94583333,20,1
30.9625,73.97916667,20,1
30.97083333,72.47083333,50,1
31.00416667,72.4625,150,1
31.00416667,72.5125,100,1
31.0125,68.3375,0,0
31.0125,72.47916667,100,1
31.02083333,73.84583333,108.4954337,1
31.02916667,71.10416667,100,1
31.02916667,73.12916667,150,1
31.02916667,73.85416667,130,1
31.0375,72.5625,200,1
31.04583333,71.1125,100,1
31.05416667,72.55416667,100,1
31.0625,72.10416667,150,1
31.07083333,72.9375,70,1
31.07916667,70.92916667,0,0
31.12083333,74.44583333,60,1
31.12916667,70.57083333,100,1
31.12916667,74.39583333,60,1
31.1375,68.84583333,0,0
